id;user_id;name;description;created_at;updated_at;request_retention;default_review_type_id
4c90c6af-f68d-4df5-9573-fc5ba0de72b2;01803f55-8bdf-4d94-b8be-14bcda04a8ff;English words;;2026-03-09 08:12:28.979386+00;2026-03-09 08:12:29.329448+00;0.9;3d9c29b3-0d52-4fcc-8ef2-a8dac56ae2fb
6bcc331c-de05-4514-9451-1be4170fb4e4;01803f55-8bdf-4d94-b8be-14bcda04a8ff;Japanese vocabulary;;2026-03-09 21:42:50.916936+00;2026-03-09 21:42:51.238837+00;0.9;e7b9a93c-99e2-4588-923f-228c758f40ce
77cb7585-b9e0-428c-bc66-96be43bb9e05;aa032123-8b42-4ee7-a787-ce0235685134;Japanese;;2026-03-13 09:27:15.534513+00;2026-03-13 09:27:16.259179+00;0.9;0a47480e-47f9-4c5d-aba4-2978940155c1
622ee5f6-f2da-4c5c-93e1-01dc843e9014;01803f55-8bdf-4d94-b8be-14bcda04a8ff;Français;;2026-05-18 21:26:19.522697+00;2026-05-18 21:26:19.765328+00;0.9;544a4286-6682-4863-81b9-5156173baa1d
