id;deck_id;user_id;name;front_side_position;created_at;request_retention;tag_id
3d9c29b3-0d52-4fcc-8ef2-a8dac56ae2fb;4c90c6af-f68d-4df5-9573-fc5ba0de72b2;01803f55-8bdf-4d94-b8be-14bcda04a8ff;Recto;0;2026-03-09 08:12:29.214646+00;0.9;
d5f3aa87-e2d2-4a90-b1f3-b28f5fe069fb;6bcc331c-de05-4514-9451-1be4170fb4e4;01803f55-8bdf-4d94-b8be-14bcda04a8ff;Kanji;1;2026-03-13 09:21:26.699334+00;0.9;
0a47480e-47f9-4c5d-aba4-2978940155c1;77cb7585-b9e0-428c-bc66-96be43bb9e05;aa032123-8b42-4ee7-a787-ce0235685134;Recto;0;2026-03-13 09:27:16.054528+00;0.9;
e7b9a93c-99e2-4588-923f-228c758f40ce;6bcc331c-de05-4514-9451-1be4170fb4e4;01803f55-8bdf-4d94-b8be-14bcda04a8ff;Romaji;0;2026-03-09 21:42:51.151804+00;0.9;
544a4286-6682-4863-81b9-5156173baa1d;622ee5f6-f2da-4c5c-93e1-01dc843e9014;01803f55-8bdf-4d94-b8be-14bcda04a8ff;Recto;0;2026-05-18 21:26:19.696162+00;0.9;
d9207fe4-98c3-40af-bceb-8df8492d9d0a;6bcc331c-de05-4514-9451-1be4170fb4e4;01803f55-8bdf-4d94-b8be-14bcda04a8ff;FR - JP;2;2026-06-06 14:37:21.333647+00;0.9;
716642b8-7b2c-43f6-8c1f-e900a2e3fc12;6bcc331c-de05-4514-9451-1be4170fb4e4;01803f55-8bdf-4d94-b8be-14bcda04a8ff;Fr - Kanji;2;2026-06-15 15:14:49.579083+00;0.9;
